description,price/TB,idle,noise
"Western Digital Ultrastar DC HC580 24TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722424AL5204 / 0F62802 - - - €505.06",21.04,5.8,20
"Seagate Exos X - X22 22TB, SED, 24/7, 512e/4Kn / 3.5 / SAS 12Gb/s - - - ST22000NM004E - - - €466.87",21.22,5.5,28
"Western Digital Ultrastar DC HC555 16TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722016CL52L4 / 0B47745 - - - €340.56",21.29,5.7,20
"Western Digital Ultrastar DC HC555 16TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH722016CLE6L4 / 0B48722 - - - €340.8",21.3,5.3,20
"Seagate IronWolf Pro NAS HDD +Rescue 22TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST22000NT001 - - - €468.98",21.32,6,20
"Western Digital Ultrastar DC HC530 14TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH721414ALE6L4 / 0F31284 - - - €299.35",21.38,5.5,20
"Western Digital Ultrastar DC HC590 26TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722626AL5204 / 0F59375 - - - €557.63",21.45,5.9,25
"Toshiba P300 Desktop PC 4TB, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWD240UZSVA / HDKPB02ZMA01S - - - €85.9",21.48,2.32,22
"Western Digital Ultrastar DC HC550 18TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH721818AL5204 / 0F38353 - - - €386.8",21.49,5.8,20
"Western Digital Ultrastar DC HC555 20TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722020CL52L4 / 0B47749 - - - €429.95",21.5,5.7,20
"Toshiba N300 NAS Systems 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG31GUZSVA - - - €344.99",21.56,4.03,20
"Western Digital Ultrastar DC HC550 16TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH721816AL5204 / 0F38357 - - - €346.94",21.68,5.8,20
"Seagate SkyHawk +Rescue 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST4000VX016 - - - €87.29",21.82,2.5,23
"Seagate IronWolf NAS HDD +Rescue 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST12000VN0008 - - - €262.36",21.86,5,28
"Toshiba N300 NAS Systems 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG51CUZSVA - - - €262.36",21.86,3.3,20
"Toshiba Enterprise Capacity MG08ACA 14TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG08ACA14TE - - - €306.12",21.87,4,20
"Toshiba Cloud-Scale Capacity MG09SCA 14TB, 24/7, 512e / 3.5 / SAS 12Gb/s - - - MG09SCA14TE - - - €306.14",21.87,4.25,20
"Seagate IronWolf Pro NAS HDD +Rescue 20TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST20000NT001 - - - €438.98",21.95,5.5,20
"Seagate IronWolf Pro NAS HDD +Rescue 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST16000NT001 - - - €352.92",22.06,5,20
"Toshiba Cloud-Scale Capacity MG09ACA 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG09ACA12TE - - - €265.21",22.1,3.3,20
"Western Digital WD Purple Pro 18TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD181PURP - - - €398.14",22.12,5.9,20
"Western Digital Ultrastar DC HC560 20TB, SED, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH722020ALE6L1 / 0F38754 - - - €444.05",22.2,6.1,20
"Western Digital Ultrastar DC HC590 26TB, TCG, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH722626ALE6L1 / 0F65650 - - - €577.58",22.21,5.6,25
"Toshiba Enterprise Capacity MG08-D ADA 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG08ADA800E - - - €177.76",22.22,5.61,31
"Western Digital Ultrastar DC HC550 16TB, ISE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH721816ALE6L0 / 0F38460 - - - €356.05",22.25,5.6,20
"Seagate IronWolf Pro NAS HDD +Rescue 24TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST24000NT002 - - - €535.51",22.31,6.3,20
"Seagate BarraCuda Compute 4TB, 512e / 3.5 / SATA 6Gb/s - - - ST4000DM004 / ST4000DMA04 - - - €89.34",22.34,2.5,22
"Toshiba Enterprise Capacity MG08SCA 16TB, 24/7, 512e / 3.5 / SAS 12Gb/s - - - MG08SCA16TE - - - €358.94",22.43,4.46,20
"Western Digital WD Purple 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD43PURZ - - - €90",22.5,4.3,23
"Toshiba N300 NAS Systems 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWQ140UZSVA - - - €90",22.5,5.2,30
"Western Digital Ultrastar DC HC555 18TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH722018CLE6L4 / 0B48723 - - - €405.5",22.53,5.3,20
"Western Digital Ultrastar DC HC560 20TB, SED, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722020BL5201 / 0F38651 - - - €450.75",22.54,6.1,20
"Toshiba N300 NAS Systems 14TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - HDWG51EEZSTA - - - €315.85",22.56,3.77,20
"Seagate IronWolf NAS HDD +Rescue 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST16000VN001 - - - €363",22.69,5.3,28
"Western Digital Ultrastar DC HC570 22TB, SED, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722222AL5201 / 0F48051 - - - €499.14",22.69,6,20
"Western Digital Ultrastar DC HC580 22TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722422AL5204 / 0F62791 - - - €499.93",22.72,5.8,20
"Seagate SkyHawk +Rescue 4TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST4000VX013 - - - €91.24",22.81,2.5,26
"Toshiba N300 NAS Systems 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - HDWG51CEZSTA - - - €274.29",22.86,3.3,20
"Western Digital WD Purple 6TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD64PURZ - - - €137.88",22.98,4.3,23
"Toshiba N300 NAS Systems 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - MN10ADA800S - - - €185.02",23.13,4.92,34
"Toshiba S300 Pro Surveillance 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWT31AUZSVA - - - €231.32",23.13,7.15,34
"Toshiba N300 NAS Systems 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - HDWG21CXZSTA / HDWG21CEZSTA - - - €278.32",23.19,3.78,20
"Toshiba Cloud-Scale Capacity MG09SCA 12TB, 24/7, 512e / 3.5 / SAS 12Gb/s - - - MG09SCA12TE - - - €278.32",23.19,3.76,20
"Toshiba N300 NAS Systems 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG480UZSVA - - - €185.82",23.23,5.61,31
"Toshiba Enterprise Capacity MG10-D ADA 8TB, 24/7, 512e/4Kn / 3.5 / SATA 6Gb/s - - - MG10ADA800E - - - €185.95",23.24,4.92,34
"Western Digital WD Gold 20TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD202KRYZ - - - €465.88",23.29,5.8,20
"Western Digital WD Red Pro 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD161KFGX - - - €373.11",23.32,3.6,20
"Western Digital WD Gold 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD161KRYZ - - - €373.16",23.32,5.6,20
"Western Digital WD Red Plus 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD120EFBX - - - €281.32",23.44,2.9,20
"Western Digital Ultrastar DC HC550 14TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH721814AL5204 / 0F38528 - - - €329.88",23.56,5.8,20
"Toshiba S300 Pro Surveillance 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - MD10ADA10TV - - - €235.74",23.57,5.74,34
"Western Digital Ultrastar DC HC555 18TB, SE, 24/7, 512e / 3.5 / SAS 12Gb/s - - - WUH722018CL52L4 / 0B47747 - - - €424.53",23.59,5.7,20
"Western Digital Ultrastar DC HC550 14TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH721814ALE6L4 / 0F38581 - - - €331.3",23.66,5.6,20
"Toshiba Enterprise Capacity MG07ACA 12TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG07ACA12TE - - - €284",23.67,3.93,20
"Toshiba N300 NAS Systems 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - HDWG780EZSTA - - - €189.88",23.74,4.92,34
"Toshiba N300 NAS Systems 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - MN10ADA10TS - - - €238.52",23.85,5.74,34
"Toshiba N300 NAS Systems 14TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG21EUZSVA - - - €333.99",23.86,4.27,20
"Western Digital WD Gold 18TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD181KRYZ - - - €429.59",23.87,5.6,20
"Seagate IronWolf NAS HDD +Rescue 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST8000VN002 - - - €191",23.88,3.4,27
"Seagate IronWolf NAS HDD +Rescue 8TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - ST8000VN004 - - - €191.09",23.89,7.2,28
"Toshiba N300 NAS Systems 10TB, 24/7, 512e / 3.5 / SATA 6Gb/s, retail - - - HDWG71AEZSTA - - - €240.48",24.05,5.74,34
"Western Digital WD Gold 20TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WD203KRYZ - - - €482.98",24.15,5.3,20
