price/TB,idle,noise
48.3,6.5,29
48.33,7.2,30
48.4,0.5,24
48.47,5.8,20
48.5,8.1,29
48.74,5,20
48.8,7,29
48.94,3.9,23
48.98,4.4,30
49.14,4.9,18
49.16,7.2,28
49.22,3.7,25
49.24,2.9,20
49.41,3.4,24
49.54,7.1,29
49.73,5.7,20
49.77,5.8,29
49.81,8.1,31
49.96,3.4,25
49.99,6,31
49.99,6,31
50,5.8,20
50.08,3.4,26
50.52,4.07,31
51.32,5.5,24
51.36,4.5,31
51.63,7.8,28
52.25,3,26
52.49,5.4,25
52.67,3.1,23
52.98,3.96,23
53.61,0.45,20
53.74,7.8,28
53.74,5.2,20
53.74,5,20
53.74,5.8,20
53.74,6.4,34
53.98,0.8,23
54.15,3.2,21
54.63,7.2,28
54.72,5.4,29
54.75,0.5,19
54.83,4.9,25
54.9,6.1,29
54.98,2.7,23
54.99,6.9,23.5
54.99,7.8,28
54.99,3.4,25
55,5,20
55.91,6,29
56.14,3.1,23
56.24,5,20
56.24,5.7,20
56.39,3.1,23
56.42,3.1,23
56.48,2.5,21
56.92,0.85,23
57.4,0.8,17
58,0.9,22
58.33,7.2,30
58.33,7.7,29
58.42,2.4,21
58.74,5.7,20
58.98,4.8,25
58.99,3.9,29
59.25,3,23
59.9,0.55,23
59.91,2.3,21
59.98,5.6,29
59.99,6.73,28
60.34,2.5,20
60.43,0.59,24
60.81,5.9,25
60.98,4.6,27
61.24,5.1,20
61.24,5.1,20
61.85,5.9,25
62,2.5,29
62.42,0.55,17
62.49,5.3,27
62.58,4,30
62.65,5.4,26
63.32,6.74,28
63.32,7.7,28
63.33,6,31
64.1,4.59,28
64.25,3.49,34
64.8,7.4,31
64.9,2.8,20
64.95,3,23
64.99,7,29
64.99,7.2,24
65.98,2.5,22
66.44,0.85,23
66.58,3.1,23
66.65,3.1,23
66.65,7.7,28
66.66,6.1,34
66.99,6,31
67.24,3.95,23
67.49,7.1,29
67.49,6.9,29
67.8,0.9,20
67.9,2.5,21
67.93,5.1,20
68.93,8.1,29
69.09,6,31
69.62,3.9,24
69.8,0.85,23
69.88,2.5,23
69.98,3,23
69.99,7.1,29
70.96,3.26,34
71.56,0.7,20
71.63,7.7,29
71.8,3.4,25
72.46,3.7,20
72.49,0.85,24
72.49,5.8,29
73.11,3.7,23
73.32,8.1,31
74.94,4.9,25
74.97,0.55,17
74.98,5.2,27
75,1,25
75.48,2.3,21
75.5,2.9,21
76.1,3.4,26
76.65,6.73,28
76.93,3.7,20
78.53,0.65,24
78.74,5.8,20
79.32,5.9,28
79.34,5.9,25
79.9,3.3,23
79.98,5.1,26
79.99,7.6,29
79.99,7.1,29
81.66,5.5,20
81.81,8.1,29
82.49,7.7,29
82.6,0.85,24
82.88,5.78,28
83,7.4,28
83.32,4.9,23
83.33,5.1,20
84.98,6,31
84.99,4.9,25
85.72,2.9,21
85.99,7.5,31
86.7,0.85,23
87.44,7.7,29
88.33,7.1,29
89.76,5.1,20
89.9,0.85,24
89.98,4.5,21
92.25,8.1,29
92.28,0.7,24
92.6,5.9,25
93.27,0.8,28
93.32,5.4,23
93.78,2.5,23
94.88,5.17,28
94.98,0.7,25
94.99,6.2,23
94.99,4.59,28
94.99,6.1,31
94.99,7.7,29
96.95,8,27
97.26,3.4,27
98,3.3,23
98.82,8.1,29
98.98,0.5,22
99.32,3.4,24
99.77,6.5,31
99.95,0.57,20
99.98,5.4,26
99.98,6.2,31
99.98,6.2,31
100.02,8,27
100.02,5.6,29
100.1,3.4,26
100.48,3.9,24
102.56,7.7,28
105.59,7.8,28
105.72,0.85,22
106.17,3.7,25
106.62,7.2,28
107.36,6.1,29
108.81,3.96,23
111.13,7.4,31
112.27,3.1,23
112.4,0.45,20
112.5,7.4,28
113.25,5.53,25
115.15,4.75,25
116.95,3.3,23
117,0.45,20
117.5,3.87,28
118.66,0.8,23
119.6,5.53,25
119.95,0.8,25
120,3.1,23
121.82,7.8,28
122.98,7.4,28
123.05,6.2,29
124.94,7.1,29
124.98,7.4,28
124.98,7.7,29
127.72,7.7,28
129.11,5,25
129.6,8.1,31
129.98,7.1,29
132,0.55,23
133.68,6,31
137.95,4.84,28
